PlayerName,PlayerId,Pos,Team,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Cameron Dicker,2568435,K,LAC,18,,,3,9,5,1,,,,1,80.10
Brandon Aubrey,2571750,K,DAL,23,1,,4,2,4,5,,,,2,79.00
Jason Myers,2553112,K,SEA,22,,,2,3,4,4,,,1,3,72.50
Eddy Pineiro,2560842,K,SF,9,1,,4,3,5,5,,,,4,72.00
Will Reichard,2572273,K,MIN,13,,,3,5,1,5,,,,5,66.00
Ka'imi Fairbairn,2556521,K,HOU,10,,,1,3,4,5,,,,6,64.50
Joey Slye,2563132,K,TEN,5,1,,1,4,4,6,,,,7,63.70
Nick Folk,2507225,K,NYJ,7,,,1,4,4,5,,,,8,63.00
Chad Ryland,2570125,K,ARI,16,,,2,4,5,2,,,,9,63.00
Chase McLaughlin,2563203,K,TB,14,1,,1,5,3,5,,,1,10,62.60
Jake Bates,2571759,K,DET,27,,,2,2,2,2,,,,11,60.00
Matt Gay,2562271,K,WAS,18,,,1,1,4,4,,,1,12,59.00
Chris Boswell,2550545,K,PIT,16,,,,1,6,3,,,1,13,58.50
Blake Grupe,2571234,K,NO,11,,,6,4,1,3,,,1,14,58.50
Spencer Shrader,2573175,K,IND,14,,,5,5,2,1,,,,15,57.00
Ryan Fitzgerald,2573979,K,CAR,13,1,,2,5,3,2,,,,16,53.60
Harrison Butker,2558245,K,KC,18,3,,3,5,1,3,,,,17,51.60
Matt Prater,2506677,K,BUF,17,,,2,4,3,1,,,1,18,51.00
Evan McPherson,2565953,K,CIN,14,,,2,3,4,1,,,,19,50.00
Daniel Carlson,2560993,K,LV,8,,,3,3,2,3,,,,20,49.00
Riley Patterson,2567013,K,MIA,15,,,2,2,5,,,,,21,48.50
Tyler Loop,2573940,K,BAL,15,1,,1,3,4,1,,,,22,48.00
Wil Lutz,2556601,K,DEN,16,,,2,4,1,2,,,,23,47.00
Jake Elliott,2558172,K,PHI,20,,,,2,1,3,,,,24,45.50
Joshua Karty,2572201,K,LAR,19,2,,3,3,3,1,,1,1,25,45.50
Andy Borregales,2574365,K,NE,18,2,1,2,3,1,2,,,,26,44.50
Cam Little,2572147,K,JAX,14,1,,3,3,3,1,,,,27,44.00
Andre Szmyt,2570470,K,CLE,11,1,,,7,1,2,,,1,28,42.00
John Parker Romo,2569101,K,ATL,9,,,2,6,,1,,,1,29,36.00
Cairo Santos,2550636,K,CHI,11,,,,1,3,2,,,,30,36.00
Brandon McManus,2541556,K,GB,11,1,,1,4,,2,,,,31,34.00
Jake Moody,2570308,K,CHI,5,,,2,4,3,,,1,1,32,31.00
Graham Gano,71309,K,NYG,4,,,2,3,,1,,,,33,24.00
Lucas Havrisik,2569534,K,GB,6,,,,2,1,1,,,,34,21.00
Mike Badgley,2560965,K,IND,7,1,,,1,1,,,,,35,11.00
Younghoe Koo,2559205,K,NYG,2,,,,1,1,,,,,36,9.50
Jude McAtamney,2573503,K,NYG,9,3,,1,1,,,,,,37,6.00
Matthew Wright,2562968,K,FA,1,,,,,1,,,,,38,5.00
Tyler Bass,2563596,K,BUF,,,,,,,,,,,39,0.00
Anders Carlson,2569750,K,FA,,,,,,,,,,,40,0.00
Ryan Coe,2574584,K,FA,,,,,,,,,,,41,0.00
Caden Davis,2574436,K,FA,,,,,,,,,,,42,0.00
Zane Gonzalez,2558178,K,FA,,,,,,,,,,,43,0.00
Alex Hale,2573890,K,FA,,,,,,,,,,,44,0.00
Dustin Hopkins,2539227,K,FA,,,,,,,,,,,45,0.00
John Hoyland,2573932,K,FA,,,,,,,,,,,46,0.00
Greg Joseph,2561534,K,FA,,,,,,,,,,,47,0.00
Jonathan Kim,2574013,K,FA,,,,,,,,,,,48,0.00
Lenny Krieg,2573911,K,ATL,,,,,,,,,,,49,0.00
Mark McNamee,2574637,K,FA,,,,,,,,,,,50,0.00
Harrison Mevis,2572932,K,FA,,,,,,,,,,,51,0.00
Jason Sanders,2561153,K,MIA,,,,,,,,,,,52,0.00
Ben Sauls,2574499,K,ATL,,,,,,,,,,,53,0.00
Charlie Smyth,2572330,K,NO,,,,,,,,,,,54,0.00
Maddux Trujillo,2574200,K,FA,,,,,,,,,,,55,0.00
Justin Tucker,2536340,K,FA,,,,,,,,,,,56,0.00
Cade York,2567487,K,FA,,,,,,,,,,,57,0.00
Greg Zuerlein,2534797,K,FA,,,,,,,,,,,58,0.00
