PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Deon Jackson,2565603,RB,IND,@DEN,,,,62,,4,29,,,,,,21.00,13,4,17,4,4,100,1,,,1,12.80
Melvin Gordon,2552469,RB,DEN,IND,,,,54,,3,49,,,,,,23.50,15,3,18,3,3,100,,6,1,2,11.80
Mike Boone,2561099,RB,DEN,IND,,,,38,,3,47,,,,,,23.50,7,3,10,3,3,100,,1,,3,11.70
Phillip Lindsay,2559947,RB,IND,@DEN,,,,40,,3,14,,,,,,21.00,11,3,14,3,4,75,,,,4,6.90
Nyheim Hines,2560742,RB,IND,@DEN,,,,3,,1,5,,,,,,21.00,1,1,2,1,2,50,,,,5,1.30
Ameer Abdullah,2552374,RB,LV,@KC,,,,,,,,,,,,,0.00,,,,,,,,,,6,0.00
Josh Adams,2560949,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,7,0.00
Salvon Ahmed,2565090,RB,MIA,@NYJ,,,,,,,,,,,,,0.00,,,,,,,,,,8,0.00
Cam Akers,2564319,RB,LA,DAL,,,,,,,,,,,,,0.00,,,,,,,,,,9,0.00
Tyler Allgeier,2567232,RB,ATL,@TB,,,,,,,,,,,,,0.00,,,,,,,,,,10,0.00
Darius Anderson,2563824,RB,HOU,@JAX,,,,,,,,,,,,,0.00,,,,,,,,,,11,0.00
Alex Armah,2558833,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,12,0.00
Ryquell Armstead,2562622,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,13,0.00
Tyler Badie,2567265,RB,BAL,CIN,,,,,,,,,,,,,0.00,,,,,,,,,,14,0.00
Jake Bargas,2564508,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,15,0.00
Saquon Barkley,2560968,RB,NYG,@GB,,,,,,,,,,,,,0.00,,,,,,,,,,16,0.00
Kenjon Barner,2539289,RB,TB,ATL,,,,,,,,,,,,,0.00,,,,,,,,,,17,0.00
Nick Bawden,2560972,RB,NYJ,MIA,,,,,,,,,,,,,0.00,,,,,,,,,,18,0.00
B.J. Baylor,2567568,RB,ATL,@TB,,,,,,,,,,,,,0.00,,,,,,,,,,19,0.00
Nick Bellore,2495262,RB,SEA,@NO,,,,,,,,,,,,,0.00,,,,,,,,,,20,0.00
Eno Benjamin,2564889,RB,ARI,PHI,,,,,,,,,,,,,0.00,,,,,,,,,,21,0.00
Giovani Bernard,2540156,RB,TB,ATL,,,,,,,,,,,,,0.00,,,,,,,,,,22,0.00
Khari Blasingame,2562869,RB,CHI,@MIN,,,,,,,,,,,,,0.00,,,,,,,,,,23,0.00
Brandon Bolden,2532797,RB,LV,@KC,,,,,,,,,,,,,0.00,,,,,,,,,,24,0.00
Reggie Bonnafon,2561184,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,25,0.00
Darius Bradwell,2565015,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,26,0.00
Matt Breida,2558918,RB,NYG,@GB,,,,,,,,,,,,,0.00,,,,,,,,,,27,0.00
Gary Brightwell,2566364,RB,NYG,@GB,,,,,,,,,,,,,0.00,,,,,,,,,,28,0.00
Kennedy Brooks,2568060,RB,PHI,@ARI,,,,,,,,,,,,,0.00,,,,,,,,,,29,0.00
Brittain Brown,2567868,RB,LV,@KC,,,,,,,,,,,,,0.00,,,,,,,,,,30,0.00
Malcolm Brown,2552382,RB,LA,DAL,,,,,,,,,,,,,0.00,,,,,,,,,,31,0.00
Spencer Brown,2565558,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,32,0.00
Rex Burkhead,2539265,RB,HOU,@JAX,,,,,,,,,,,,,0.00,,,,,,,,,,33,0.00
Michael Burton,2552636,RB,KC,LV,,,,,,,,,,,,,0.00,,,,,,,,,,34,0.00
Jason Cabinda,2560986,RB,DET,@NE,,,,,,,,,,,,,0.00,,,,,,,,,,35,0.00
Raymond Calais,2565207,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,36,0.00
Trenton Cannon,2561137,RB,TEN,@WAS,,,,,,,,,,,,,0.00,,,,,,,,,,37,0.00
Chris Carson,2558865,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,38,0.00
Cethan Carter,2558929,RB,MIA,@NYJ,,,,,,,,,,,,,0.00,,,,,,,,,,39,0.00
Michael Carter,2566382,RB,NYJ,MIA,,,,,,,,,,,,,0.00,,,,,,,,,,40,0.00
Ty Chandler,2567907,RB,MIN,CHI,,,,,,,,,,,,,0.00,,,,,,,,,,41,0.00
Julius Chestnut,2568804,RB,TEN,@WAS,,,,,,,,,,,,,0.00,,,,,,,,,,42,0.00
Nick Chubb,2561021,RB,CLE,LAC,,,,,,,,,,,,,0.00,,,,,,,,,,43,0.00
Tevin Coleman,2552453,RB,SF,@CAR,,,,,,,,,,,,,0.00,,,,,,,,,,44,0.00
Alex Collins,2555430,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,45,0.00
James Conner,2557978,RB,ARI,PHI,,,,,,,,,,,,,0.00,,,,,,,,,,46,0.00
Snoop Conner,2567730,RB,JAX,HOU,,,,,,,,,,,,,0.00,,,,,,,,,,47,0.00
Dalvin Cook,2557991,RB,MIN,CHI,,,,,,,,,,,,,0.00,,,,,,,,,,48,0.00
James Cook,2567328,RB,BUF,PIT,,,,,,,,,,,,,0.00,,,,,,,,,,49,0.00
Jashaun Corbin,2569125,RB,NYG,@GB,,,,,,,,,,,,,0.00,,,,,,,,,,50,0.00
Nathan Cottrell,2564175,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,51,0.00
Damarea Crockett,2563223,RB,DEN,IND,,,,,,,,,,,,,23.50,,,,,,,,,,52,0.00
DeeJay Dallas,2565144,RB,SEA,@NO,,,,,,,,,,,,,0.00,,,,,,,,,,53,0.00
Mike Davis,2553439,RB,BAL,CIN,,,,,,,,,,,,,0.00,,,,,,,,,,54,0.00
Tyrion Davis-Price,2568207,RB,SF,@CAR,,,,,,,,,,,,,0.00,,,,,,,,,,55,0.00
AJ Dillon,2563986,RB,GB,NYG,,,,,,,,,,,,,0.00,,,,,,,,,,56,0.00
Gerrid Doaks,2566277,RB,HOU,@JAX,,,,,,,,,,,,,0.00,,,,,,,,,,57,0.00
J.K. Dobbins,2563548,RB,BAL,CIN,,,,,,,,,,,,,0.00,,,,,,,,,,58,0.00
Rico Dowdle,2565295,RB,DAL,@LA,,,,,,,,,,,,,0.00,,,,,,,,,,59,0.00
Kenyan Drake,2555230,RB,BAL,CIN,,,,,,,,,,,,,0.00,,,,,,,,,,60,0.00
Mataeo Durant,2568487,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,61,0.00
Jerrion Ealy,2568414,RB,KC,LV,,,,,,,,,,,,,0.00,,,,,,,,,,62,0.00
Trestan Ebner,2567385,RB,CHI,@MIN,,,,,,,,,,,,,0.00,,,,,,,,,,63,0.00
Chase Edmonds,2560711,RB,MIA,@NYJ,,,,,,,,,,,,,0.00,,,,,,,,,,64,0.00
Trey Edmunds,2559325,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,65,0.00
Gus Edwards,2561324,RB,BAL,CIN,,,,,,,,,,,,,0.00,,,,,,,,,,66,0.00
Clyde Edwards-Helaire,2564271,RB,KC,LV,,,,,,,,,,,,,0.00,,,,,,,,,,67,0.00
Austin Ekeler,2559169,RB,LAC,@CLE,,,,,,,,,,,,,0.00,,,,,,,,,,68,0.00
Ezekiel Elliott,2555224,RB,DAL,@LA,,,,,,,,,,,,,0.00,,,,,,,,,,69,0.00
Travis Etienne,2566157,RB,JAX,HOU,,,,,,,,,,,,,0.00,,,,,,,,,,70,0.00
Chris Evans,2565944,RB,CIN,@BAL,,,,,,,,,,,,,0.00,,,,,,,,,,71,0.00
Darrynton Evans,2564043,RB,CHI,@MIN,,,,,,,,,,,,,0.00,,,,,,,,,,72,0.00
Demetric Felton,2565968,RB,CLE,LAC,,,,,,,,,,,,,0.00,,,,,,,,,,73,0.00
Jerome Ford,2567469,RB,CLE,LAC,,,,,,,,,,,,,0.00,,,,,,,,,,74,0.00
D'Onta Foreman,2557994,RB,CAR,SF,,,,,,,,,,,,,0.00,,,,,,,,,,75,0.00
