PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Jordan Akins,2560951,TE,HOU,Bye,,,,,,,,,,,,,1,0.00,
Mo Alie-Cox,2558832,TE,IND,JAX,,,,,,,,,,,,4.01,2,0.00,-4.01
Stephen Anderson,2556463,TE,LAC,MIN,,,,,,,,,,,,1.88,3,0.00,-1.88
Mark Andrews,2560957,TE,BAL,@MIA,,,,,,,,,,,,10.21,4,0.00,-10.21
Dan Arnold,2559385,TE,JAX,@IND,,,,,,,,,,,,7.01,5,0.00,-7.01
Devin Asiasi,2564586,TE,NE,CLE,,,,,,,,,,,,0.00,6,0.00,0.0
Antony Auclair,2559044,TE,HOU,Bye,,,,,,,,,,,,,7,0.00,
John Bates,2566580,TE,WAS,TB,,,,,,,,,,,,0.42,8,0.00,-0.42
Marcus Baugh,2560971,TE,FA,Bye,,,,,,,,,,,,,9,0.00,
Evan Baylis,2559299,TE,FA,Bye,,,,,,,,,,,,,10,0.00,
Andrew Beck,2562626,TE,DEN,PHI,,,,,,,,,,,,0.39,11,0.00,-0.39
Nate Becker,2563191,TE,FA,Bye,,,,,,,,,,,,,12,0.00,
Ryan Becker,2564886,TE,FA,Bye,,,,,,,,,,,,,13,0.00,
Blake Bell,2552478,TE,KC,@LV,,,,,,,,,,,,0.70,14,0.00,-0.7
Kelvin Benjamin,2543471,TE,FA,Bye,,,,,,,,,,,,,15,0.00,
Kendall Blanton,2562234,TE,LA,@SF,,,,,,,,,,,,0.70,16,0.00,-0.7
Jibri Blount,2565672,TE,FA,Bye,,,,,,,,,,,,,17,0.00,
Nick Bowers,2564415,TE,LV,KC,,,,,,,,,,,,,18,0.00,
Nick Boyle,2552402,TE,BAL,@MIA,,,,,,,,,,,,1.91,19,0.00,-1.91
Cameron Brate,2550656,TE,TB,@WAS,,,,,,,,,,,,3.46,20,0.00,-3.46
