PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Rank,TotalPoints
Christian McCaffrey,2557997,RB,CAR,,,,1387,116,1005,4,,,1,1,13.24,,,,,1,414.60
Aaron Jones,2558116,RB,GB,,,,1084,49,474,3,,,,3,14.89,,,,,2,291.00
Ezekiel Elliott,2555224,RB,DAL,,,,1357,54,420,2,,,,3,17.50,,,,,3,287.10
Derrick Henry,2556075,RB,TEN,,,,1540,18,206,2,,,,5,22.49,,,,,4,283.30
Dalvin Cook,2557991,RB,MIN,,,,1135,53,519,,,,,4,18.42,,,,,5,262.90
Austin Ekeler,2559169,RB,LAC,,,,557,92,993,8,,,,3,12.12,,,,,6,262.00
Nick Chubb,2561021,RB,CLE,,,,1494,36,278,,,,,3,11.02,,,,,7,238.90
Mark Ingram,2495466,RB,NO,,,,1018,26,247,5,,,2,2,,,,,,8,233.20
Leonard Fournette,2557973,RB,TB,,,,1152,76,522,,,,,1,,,,,,9,224.90
Chris Carson,2558865,RB,SEA,,,,1230,37,266,2,,,,7,,,,,,10,209.10
Todd Gurley,2552475,RB,FA,,,,857,31,207,2,,,1,3,,,,,,11,203.60
Alvin Kamara,2558019,RB,NO,13,,,797,81,533,1,,,,4,,,,,,12,202.02
Miles Sanders,2562722,RB,PHI,,,,818,50,509,3,,,1,2,13.82,,,,,13,191.70
Kenyan Drake,2555230,RB,LV,,,,817,50,345,,,,1,2,17.31,,,,,14,191.60
Josh Jacobs,2562377,RB,LV,,,,1150,20,166,,,,,1,17.31,,,,,15,184.30
Le'Veon Bell,2540175,RB,BAL,,,,789,66,461,1,,,1,1,9.76,,,,,16,182.00
James White,2543773,RB,NE,35,,,263,72,645,5,,,1,1,9.42,,,,,17,167.60
Melvin Gordon,2552469,RB,DEN,,,,612,42,296,1,,,,4,16.39,,,,,18,163.90
David Montgomery,2562502,RB,CHI,,,,889,25,185,1,,,,2,12.25,,,,,19,161.30
Ronald Jones,2560770,RB,TB,,,,724,31,309,,,,,3,,,,,,20,152.20
Carlos Hyde,2543743,RB,JAX,,,,1070,10,42,,,,,4,19.10,,,,,21,148.60
Sony Michel,2560809,RB,LA,,,,912,12,94,,,,,2,,,,,,22,147.30
Adrian Peterson,2507164,RB,FA,,,,898,17,142,,,,,3,,,,,,23,142.00
Latavius Murray,2541161,RB,BAL,,,,637,34,235,1,,,,,9.76,,,,,24,140.20
Duke Johnson,2552461,RB,FA,,,,410,44,410,3,,,,1,,,,,,25,137.10
Jamaal Williams,2558204,RB,DET,,,,460,39,253,5,,,,,,,,,,26,133.50
James Conner,2557978,RB,ARI,,,,464,34,251,3,,,,1,11.75,,,,,27,129.50
Tevin Coleman,2552453,RB,NYJ,,,,544,21,180,1,,,,,15.13,,,,,28,128.60
Devin Singletary,2562734,RB,BUF,,,,775,29,194,2,,,,4,16.53,,,,,29,128.40
David Johnson,2553435,RB,HOU,,,,345,36,370,4,,,,1,16.19,,,,,30,125.20
Royce Freeman,2560733,RB,CAR,,,,496,43,256,1,,,,,13.24,,,,,31,124.40
Peyton Barber,2556466,RB,LV,,,,470,16,115,1,,,1,1,17.31,,,,,32,110.20
DeAndre Washington,2555464,RB,FA,,,,387,36,292,,,,,,,,,,,33,107.30
LeSean McCoy,79607,RB,FA,,,,465,28,181,1,,,,3,,,,,,34,103.60
Nyheim Hines,2560742,RB,IND,,,,199,44,320,,2,,,1,11.06,,,,,35,101.80
Matt Breida,2558918,RB,BUF,,,,623,19,120,1,,,,2,16.53,,,,,36,93.50
Gus Edwards,2561324,RB,BAL,,,,711,7,45,,,,,2,9.76,,,,,37,93.20
Chase Edmonds,2560711,RB,ARI,,,,303,12,105,1,,,,,11.75,,,,,38,85.20
Tony Pollard,2562699,RB,DAL,,,,455,15,107,1,,,1,1,17.50,,,,,39,83.40
Kareem Hunt,2557917,RB,CLE,,,,179,37,285,1,,,,1,11.02,,,,,40,82.40
Jaylen Samuels,2560862,RB,FA,35,,1,175,47,305,1,,,,1,,,,,,41,80.90
Kerryon Johnson,2560765,RB,FA,,,,403,10,127,1,,,,1,,,,,,42,80.00
Boston Scott,2561146,RB,PHI,,,,245,24,204,,,,,4,13.82,,,,,43,79.90
Rashaad Penny,2560835,RB,SEA,,,,370,8,83,1,,,,1,,,,,,44,71.30
Patrick Laird,2563296,RB,MIA,,,,168,23,204,,,,1,,12.38,,,,,45,67.00
J.D. McKissic,2556440,RB,WAS,,,,205,34,233,1,,,,,,,,,,46,66.80
Brian Hill,2558112,RB,FA,,,,323,10,69,1,,,,,,,,,,47,66.60
Alexander Mattison,2562682,RB,MIN,,,,462,10,82,,,,,1,18.42,,,,,48,64.40
Malcolm Brown,2552382,RB,MIA,,,,255,2,16,,,,,,12.38,,,,,49,64.00
Benny Snell,2562743,RB,PIT,,,,426,3,23,,,,,1,12.45,,,,,50,63.20
Dare Ogunbowale,2559362,RB,JAX,,,,17,35,286,,,,,2,19.10,,,,,51,61.70
Darrel Williams,2560935,RB,KC,,,,141,15,167,1,,,,1,14.77,,,,,52,61.30
Ty Johnson,2562293,RB,NYJ,,,,273,24,109,,,,,1,15.13,,,,,53,56.70
Dion Lewis,2495469,RB,FA,,,,209,25,164,1,,,,1,,,,,,54,54.80
Mike Boone,2561099,RB,DEN,,,,273,3,17,,,,,,16.39,,,,,55,54.40
Giovani Bernard,2540156,RB,TB,,,,170,30,234,,,,,2,,,,,,56,54.10
Jeff Wilson,2560938,RB,SF,,,,105,3,34,1,,,,,13.26,,,,,57,50.50
Justice Hill,2562407,RB,BAL,,,,225,8,70,,,,,,9.76,,,,,58,47.20
Kalen Ballage,2560967,RB,PIT,,,,135,14,63,,,,,,12.45,,,,,59,45.60
Dontrell Hilliard,2561461,RB,FA,,,,49,12,92,,,,,2,,,,,,60,45.10
Wayne Gallman,2557952,RB,ATL,,,,110,11,102,1,,,,1,,,,,,61,44.40
Ameer Abdullah,2552374,RB,CAR,,,,115,15,88,1,,,,1,13.24,,,,,62,42.80
Patrick Ricard,2558990,RB,BAL,,,,,8,47,1,,,,,9.76,,,,,63,42.60
Kyle Juszczyk,2540230,RB,SF,,,,7,20,239,1,,,,,13.26,,,,,64,42.07
Cordarrelle Patterson,2540145,RB,ATL,,,,103,11,83,,1,,,,,,,,,65,39.40
Derek Watt,2555220,RB,PIT,,,,10,3,32,,,,,,12.45,,,,,66,36.20
C.J. Ham,2556803,RB,MIN,,,,17,17,149,1,,,,1,18.42,,,,,67,35.90
Qadree Ollison,2562797,RB,FA,,,,50,1,7,,,,,1,,,,,,68,35.10
Ty Montgomery,2552429,RB,NO,,,,103,13,90,,,,,,,,,,,69,32.70
Ito Smith,2559924,RB,FA,,,,106,11,87,,,,,,,,,,,70,30.80
Darwin Thompson,2562832,RB,FA,,,,128,9,43,,,,,,,,,,,71,29.30
Myles Gaskin,2562270,RB,MIA,,,,133,7,51,,,,,,12.38,,,,,72,27.90
Justin Jackson,2560756,RB,LAC,,,,200,9,22,,,,,,12.12,,,,,73,26.70
T.J. Yeldon,2552471,RB,FA,,,,63,13,124,,,,,1,,,,,,74,25.70
D'Ernest Johnson,2563327,RB,CLE,,,,21,6,71,,,,,,11.02,,,,,75,22.30
Nick Bellore,2495262,RB,SEA,,,,,2,23,1,,,,,,,,,,76,22.20
Keith Smith,2550400,RB,ATL,,,,8,1,13,,,,,,,,,,,77,20.50
Alec Ingold,2562288,RB,LV,,,,17,6,44,1,,,,,17.31,,,,,78,18.60
Taiwan Jones,2495467,RB,BUF,,,,40,1,9,,,,,,16.53,,,,,79,16.20
Anthony Sherman,2495340,RB,FA,,,,9,2,22,,,,,,,,,,,80,15.00
Andy Janovich,2555432,RB,CLE,,,,1,5,42,,,,,,11.02,,,,,81,14.50
Alex Armah,2558833,RB,NO,,,,11,2,6,,,,,,,,,,,82,12.10
Devontae Booker,2555223,RB,NYG,,,,9,6,57,,,,,,12.02,,,,,83,11.40
Khari Blasingame,2562869,RB,TEN,,,,,4,54,,,,,,22.49,,,,,84,10.80
Dwayne Washington,2556118,RB,NO,,,,60,1,6,,,,,,,,,,,85,10.40
Senorise Perry,2550633,RB,FA,,,,3,1,1,,,,,,,,,,,86,10.20
Mike Davis,2553439,RB,ATL,,,,27,7,22,,,,,,,,,,,87,10.10
Devine Ozigbo,2562409,RB,JAX,,,,27,3,23,,,,,,19.10,,,,,88,9.90
Buddy Howell,2561344,RB,LA,,,,10,,,,,,,,,,,,,89,8.50
Michael Burton,2552636,RB,KC,,,,,,,,,,,,14.77,,,,,90,7.50
Samaje Perine,2558138,RB,CIN,,,,16,,,,,,,,,,,,,91,7.50
Ryan Nall,2560817,RB,CHI,,,,8,,,,,,,,12.25,,,,,92,5.90
Trenton Cannon,2561137,RB,SF,,,,,,,,,,,,13.26,,,,,93,4.33
D.J. Foster,2556528,RB,FA,,,,,,,,,,,,,,,,,94,3.40
Jason Cabinda,2560986,RB,DET,,,,,,,,,,,,,,,,,95,2.50
Josh Adams,2560949,RB,FA,,,,12,,,,,,,,,,,,,96,1.20
Jakob Johnson,2562890,RB,NE,,,,,1,5,,,,,,9.42,,,,,97,1.00
Alfred Morris,2533457,RB,FA,,,,4,,,,,,,,,,,,,98,0.40
Salvon Ahmed,2565090,RB,MIA,,,,,,,,,,,,12.38,,,,,99,0.00
Cam Akers,2564319,RB,LA,,,,,,,,,,,,,,,,,100,0.00
Darius Anderson,2563824,RB,FA,,,,,,,,,,,,,,,,,101,0.00
Ryquell Armstead,2562622,RB,FA,,,,,,,,,,,,,,,,,102,0.00
Jake Bargas,2564508,RB,FA,,,,,,,,,,,,,,,,,103,0.00
Saquon Barkley,2560968,RB,NYG,,,,,,,,,,,,12.02,,,,,104,0.00
Nick Bawden,2560972,RB,FA,,,,,,,,,,,,,,,,,105,0.00
Levante Bellamy,2563878,RB,DEN,,,,,,,,,,,,16.39,,,,,106,0.00
Eno Benjamin,2564889,RB,ARI,,,,,,,,,,,,11.75,,,,,107,0.00
Brandon Bolden,2532797,RB,NE,,,,,,,,,,,,9.42,,,,,108,0.00
Reggie Bonnafon,2561184,RB,FA,,,,,,,,,,,,,,,,,109,0.00
Darius Bradwell,2565015,RB,FA,,,,,,,,,,,,,,,,,110,0.00
Gary Brightwell,2566364,RB,NYG,,,,,,,,,,,,12.02,,,,,111,0.00
Tony Brooks-James,2563300,RB,FA,,,,,,,,,,,,,,,,,112,0.00
Spencer Brown,2565558,RB,FA,,,,,,,,,,,,,,,,,113,0.00
Rex Burkhead,2539265,RB,HOU,,,,,,,,,,,,16.19,,,,,114,0.00
Raymond Calais,2565207,RB,LA,,,,,,,,,,,,,,,,,115,0.00
Patrick Carr,2565138,RB,FA,,,,,,,,,,,,,,,,,116,0.00
Michael Carter,2566382,RB,NYJ,,,,,,,,,,,,15.13,,,,,117,0.00
Jordan Chunn,2561308,RB,FA,,,,,,,,,,,,,,,,,118,0.00
Darius Clark,2565561,RB,FA,,,,,,,,,,,,,,,,,119,0.00
